('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_norm_weighted')&standardscaler|minmaxscaler|GMeans: 0.624[intergal_metric=0.162] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 10, 'significance': 0.08568855274724554})[clusters:total_unique=600, max_size=34, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&standardscaler|GMeans: 0.624[intergal_metric=0.181] -> OrderedDict({'max_n_clusters': 596, 'n_clusters_init': 13, 'n_split_trials': 482, 'significance': 0.13234349851889904})[clusters:total_unique=596, max_size=9, average_size=2.120805369127517]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&pca|standardscaler|GMeans: 0.198[intergal_metric=0.237] -> OrderedDict({'max_n_clusters': 197, 'n_clusters_init': 10, 'n_split_trials': 432, 'significance': 0.18116535485167296})[clusters:total_unique=197, max_size=408, average_size=6.416243654822335]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&pca|minmaxscaler|GMeans: 0.564[intergal_metric=0.152] -> OrderedDict({'max_n_clusters': 540, 'n_clusters_init': 10, 'n_split_trials': 35, 'significance': 0.030235585006666284})[clusters:total_unique=540, max_size=19, average_size=2.3407407407407406]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&pca|standardscaler|minmaxscaler|GMeans: 0.594[intergal_metric=0.159] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 13, 'n_split_trials': 104, 'significance': 0.011016331722523892})[clusters:total_unique=600, max_size=15, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&standardscaler|minmaxscaler|GMeans: 0.653[intergal_metric=0.184] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 17, 'n_split_trials': 76, 'significance': 0.2})[clusters:total_unique=600, max_size=11, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max2')&minmaxscaler|GMeans: 0.634[intergal_metric=0.179] -> OrderedDict({'max_n_clusters': 598, 'n_clusters_init': 25, 'n_split_trials': 73, 'significance': 0.1999227463151343})[clusters:total_unique=598, max_size=10, average_size=2.1137123745819397]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&standardscaler|GMeans: 0.604[intergal_metric=0.114] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 17, 'n_split_trials': 446, 'significance': 0.08827966666693629})[clusters:total_unique=600, max_size=23, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&pca|standardscaler|GMeans: 0.069[intergal_metric=0.515] -> OrderedDict({'max_n_clusters': 30, 'n_clusters_init': 14, 'n_split_trials': 452, 'significance': 0.1766072980145276})[clusters:total_unique=30, max_size=626, average_size=42.13333333333333]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&pca|minmaxscaler|GMeans: 0.010[intergal_metric=0.594] -> OrderedDict({'max_n_clusters': 30, 'n_clusters_init': 25, 'n_split_trials': 500, 'significance': 0.03416668029997744})[clusters:total_unique=30, max_size=296, average_size=42.13333333333333]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&pca|standardscaler|minmaxscaler|GMeans: 0.020[intergal_metric=0.241] -> OrderedDict({'max_n_clusters': 30, 'n_clusters_init': 21, 'n_split_trials': 500, 'significance': 0.16696001466777474})[clusters:total_unique=30, max_size=193, average_size=42.13333333333333]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_all_weighted_max5')&minmaxscaler|GMeans: 0.604[intergal_metric=0.116] -> OrderedDict({'max_n_clusters': 599, 'n_clusters_init': 13, 'n_split_trials': 451, 'significance': 0.19818825086563358})[clusters:total_unique=599, max_size=12, average_size=2.1101836393989983]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&standardscaler|GMeans: 0.584[intergal_metric=0.777] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 274, 'significance': 0.2})[clusters:total_unique=600, max_size=14, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&pca|standardscaler|GMeans: 0.406[intergal_metric=0.664] -> OrderedDict({'max_n_clusters': 576, 'n_clusters_init': 11, 'n_split_trials': 500, 'significance': 0.001})[clusters:total_unique=576, max_size=39, average_size=2.1944444444444446]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&pca|minmaxscaler|GMeans: 0.574[intergal_metric=0.738] -> OrderedDict({'max_n_clusters': 531, 'n_clusters_init': 15, 'n_split_trials': 443, 'significance': 0.14084094572776149})[clusters:total_unique=531, max_size=24, average_size=2.3804143126177024]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&pca|standardscaler|minmaxscaler|GMeans: 0.564[intergal_metric=0.751] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 55, 'significance': 0.001555247490254378})[clusters:total_unique=600, max_size=15, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&standardscaler|minmaxscaler|GMeans: 0.624[intergal_metric=0.787] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 10, 'significance': 0.1568302345269772})[clusters:total_unique=600, max_size=17, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max')&minmaxscaler|GMeans: 0.614[intergal_metric=0.790] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 25, 'n_split_trials': 500, 'significance': 0.18207990362345328})[clusters:total_unique=600, max_size=13, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&standardscaler|GMeans: 0.426[intergal_metric=0.708] -> OrderedDict({'max_n_clusters': 251, 'n_clusters_init': 25, 'n_split_trials': 10, 'significance': 0.16490392972513238})[clusters:total_unique=251, max_size=22, average_size=5.035856573705179]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&pca|standardscaler|GMeans: 0.465[intergal_metric=0.584] -> OrderedDict({'max_n_clusters': 600, 'n_clusters_init': 11, 'n_split_trials': 500, 'significance': 0.001})[clusters:total_unique=600, max_size=81, average_size=2.1066666666666665]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&pca|minmaxscaler|GMeans: 0.406[intergal_metric=0.620] -> OrderedDict({'max_n_clusters': 429, 'n_clusters_init': 25, 'n_split_trials': 500, 'significance': 0.001})[clusters:total_unique=429, max_size=23, average_size=2.9463869463869465]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&pca|standardscaler|minmaxscaler|GMeans: 0.208[intergal_metric=0.620] -> OrderedDict({'max_n_clusters': 252, 'n_clusters_init': 12, 'n_split_trials': 74, 'significance': 0.0013285083187995852})[clusters:total_unique=252, max_size=36, average_size=5.015873015873016]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&standardscaler|minmaxscaler|GMeans: 0.317[intergal_metric=0.733] -> OrderedDict({'max_n_clusters': 180, 'n_clusters_init': 23, 'n_split_trials': 297, 'significance': 0.12624577018512903})[clusters:total_unique=180, max_size=19, average_size=7.022222222222222]
('aggregates', 'with_var_agg', 'outliers_removal=0.1', 'guiding_score=average_to_max_norm_max')&minmaxscaler|GMeans: 0.337[intergal_metric=0.708] -> OrderedDict({'max_n_clusters': 212, 'n_clusters_init': 10, 'n_split_trials': 110, 'significance': 0.14423693253370357})[clusters:total_unique=212, max_size=21, average_size=5.962264150943396]
